Gene,total_variants,variants_with_any_failure,any_failure_rate,avg_predictors_failed,SIFT_failure_rate,PolyPhen_failure_rate,CADD_failure_rate,REVEL_failure_rate
UBASH3B,1,1,1.0,2.0,0.0,1.0,1.0,0.0
UBD,2,1,0.5,0.5,0.5,0.0,0.0,0.0
UBE2J1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
UBE2U,1,1,1.0,3.0,1.0,1.0,1.0,0.0
UBE2V2,1,1,1.0,4.0,1.0,1.0,1.0,1.0
UBE3A,4,4,1.0,2.25,0.5,0.5,1.0,0.25
UBE3B,1,0,0.0,0.0,0.0,0.0,0.0,0.0
UBE4B,1,1,1.0,1.0,0.0,0.0,1.0,0.0
UBIAD1,3,0,0.0,0.0,0.0,0.0,0.0,0.0
UBN1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
UBQLN2,3,2,0.6666666666666666,2.0,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666
UBQLN4,1,1,1.0,2.0,1.0,0.0,0.0,1.0
UBQLNL,2,1,0.5,0.5,0.5,0.0,0.0,0.0
UBR1,3,0,0.0,0.0,0.0,0.0,0.0,0.0
UBR2,1,0,0.0,0.0,0.0,0.0,0.0,0.0
UBTD2,1,1,1.0,1.0,0.0,0.0,1.0,0.0
UBXN11,1,1,1.0,2.0,1.0,0.0,1.0,0.0
UBXN4,1,1,1.0,2.0,1.0,0.0,1.0,0.0
UBXN6,2,0,0.0,0.0,0.0,0.0,0.0,0.0
UCP2,2,1,0.5,2.0,0.5,0.5,0.5,0.5
UCP3,1,0,0.0,0.0,0.0,0.0,0.0,0.0
UFC1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
UFD1,1,1,1.0,1.0,0.0,0.0,1.0,0.0
UFSP2,1,0,0.0,0.0,0.0,0.0,0.0,0.0
UGT1A1,13,5,0.38461538461538464,0.7692307692307693,0.07692307692307693,0.23076923076923078,0.07692307692307693,0.38461538461538464
UGT1A10,2,1,0.5,1.0,0.5,0.0,0.5,0.0
UGT1A3,4,4,1.0,1.5,1.0,0.0,0.5,0.0
UGT1A4,1,0,0.0,0.0,0.0,0.0,0.0,0.0
UGT1A5,4,3,0.75,0.75,0.75,0.0,0.0,0.0
UGT1A7,1,0,0.0,0.0,0.0,0.0,0.0,0.0
UGT1A8,1,0,0.0,0.0,0.0,0.0,0.0,0.0
UGT2A1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
UGT2B28,2,0,0.0,0.0,0.0,0.0,0.0,0.0
UGT2B4,3,2,0.6666666666666666,1.0,0.6666666666666666,0.0,0.3333333333333333,0.0
UGT2B7,1,0,0.0,0.0,0.0,0.0,0.0,0.0
UGT3A1,1,1,1.0,3.0,1.0,1.0,1.0,0.0
UGT3A2,1,1,1.0,2.0,1.0,1.0,0.0,0.0
UGT8,1,1,1.0,2.0,1.0,0.0,1.0,0.0
UIMC1,2,0,0.0,0.0,0.0,0.0,0.0,0.0
ULK1,3,2,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
ULK2,3,1,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0
ULK3,2,2,1.0,1.0,0.0,0.0,1.0,0.0
ULK4,4,2,0.5,1.0,0.25,0.25,0.5,0.0
UMOD,5,0,0.0,0.0,0.0,0.0,0.0,0.0
UMODL1,5,2,0.4,0.8,0.4,0.2,0.2,0.0
UMPS,2,1,0.5,1.5,0.5,0.0,0.5,0.5
UNC13B,1,0,0.0,0.0,0.0,0.0,0.0,0.0
UNC13C,2,1,0.5,2.0,0.5,0.5,0.5,0.5
UNC13D,2,2,1.0,2.0,1.0,0.5,0.0,0.5
UNC45B,2,2,1.0,2.0,0.5,0.5,1.0,0.0
UNC5B,2,0,0.0,0.0,0.0,0.0,0.0,0.0
UNC5CL,1,0,0.0,0.0,0.0,0.0,0.0,0.0
UNC80,2,2,1.0,1.0,0.0,0.0,0.5,0.5
UNC93A,4,2,0.5,1.0,0.5,0.0,0.5,0.0
UNG,1,0,0.0,0.0,0.0,0.0,0.0,0.0
UPB1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
UPK1A,1,1,1.0,1.0,0.0,0.0,1.0,0.0
UPK3A,1,0,0.0,0.0,0.0,0.0,0.0,0.0
